trade_date,pb1220,pb1098,pb854,pb732,pb610,pb488,pb366,pb244,pb122,max1,pb1,maxdif
20200423,1.1739,1.0855,1.0119,0.9795,0.9332,0.9013,0.8766,0.8422,0.8005,1.1739,0.706,-0.4679
20200506,1.1697,1.0798,1.0084,0.9752,0.9284,0.898,0.874,0.8345,0.7926,1.1697,0.7026,-0.46709999999999996
20200414,1.1782,1.0922,1.0157,0.9853,0.9386,0.9051,0.8794,0.8525,0.8085,1.1782,0.712,-0.46619999999999995
20200421,1.1751,1.0873,1.013,0.981,0.9348,0.9023,0.8774,0.8452,0.8028,1.1751,0.71,-0.46510000000000007
20200422,1.1745,1.0864,1.0124,0.9802,0.934,0.9018,0.8771,0.8437,0.8017,1.1745,0.71,-0.46450000000000014
20200204,1.2101,1.1441,1.0413,1.0165,0.9756,0.9321,0.9091,0.8981,0.8476,1.2101,0.7475,-0.4625999999999999
20200415,1.1776,1.0913,1.0151,0.9843,0.9378,0.9045,0.8789,0.8509,0.8072,1.1776,0.716,-0.4616
20200324,1.1863,1.1045,1.0228,0.9948,0.949,0.9125,0.8877,0.8713,0.8217,1.1863,0.7247,-0.4615999999999999
20200205,1.2094,1.1428,1.0408,1.0159,0.9748,0.9314,0.9083,0.8976,0.8467,1.2094,0.7496,-0.4598
20200207,1.2081,1.1403,1.0398,1.0148,0.9732,0.93,0.9067,0.8966,0.8448,1.2081,0.7496,-0.4584999999999999
20200417,1.1763,1.0893,1.0141,0.9826,0.9363,0.9034,0.8781,0.8481,0.8049,1.1763,0.718,-0.45829999999999993
20200319,1.1883,1.107,1.0244,0.9968,0.9514,0.9145,0.8896,0.8752,0.8252,1.1883,0.7309,-0.4573999999999999
20200318,1.1889,1.1081,1.025,0.9975,0.9522,0.9151,0.8902,0.8765,0.8262,1.1889,0.733,-0.4559000000000001
20200420,1.1757,1.0883,1.0135,0.9818,0.9355,0.9029,0.8777,0.8467,0.8039,1.1757,0.72,-0.4557
20181016,1.2734,1.2844,1.3049,1.1962,1.1321,1.1167,1.0885,1.025,0.9805,1.3049,0.8493,-0.4555999999999999
20181101,1.2696,1.2812,1.2955,1.1816,1.1238,1.1086,1.0756,1.0089,0.9687,1.2955,0.8403,-0.45520000000000005
20200206,1.2088,1.1415,1.0403,1.0153,0.974,0.9307,0.9075,0.8971,0.8457,1.2088,0.7537,-0.45510000000000006
20181017,1.2731,1.2841,1.3042,1.1949,1.1312,1.1161,1.0872,1.0236,0.9794,1.3042,0.8515,-0.4527
20200320,1.1876,1.1061,1.0239,0.9961,0.9506,0.9138,0.889,0.874,0.824,1.1876,0.735,-0.4526
20200326,1.185,1.1027,1.0218,0.9935,0.9475,0.9113,0.8865,0.8684,0.8196,1.185,0.733,-0.45200000000000007
